285626,285633
365581,365582
613092,613097
915666,669920
796317,796319
861843,900017
328404,328404
159118,159121
487907,487488
598748,578093
912319,912321
289483,289481
125769,125767
406880,406880
576620,773660
432468,432465
773471,773470
784878,784880
497746,497745
340608,340606
163534,163533
11225,68760
394310,394310
177078,177080
124125,124125
888480,888483
527773,527771
317446,317445
499678,505212
99989,99988
23469,538180
601373,601341
514991,514964
744898,744895
445729,445726
369606,369044
324382,324379
92906,24385
927551,927562
110734,110739
373304,373263
350302,350296
832033,832033
733287,826347
403953,403951
156706,156709
136512,136511
873855,801985
928801,928735
139308,139305
458037,458034
279042,219013
576242,43312
703915,695958
820770,579352
625598,625600
749171,70437
843307,843307
23094,827357
707376,69421
724956,726407
832556,832554
571980,60278
798517,798146
193623,333396
790433,790313
775399,45427
603977,603978
505848,505852
490545,486923
711133,711134
390984,390983
36912,908236
645857,472469
55806,55803
35924,35924
399071,390651
546949,565132
21911,21909
602607,62945
52830,52834
177299,177301
74489,74488
845397,845365
371356,371356
309952,309950
657659,509771
117511,117512
389502,389498
431138,431136
294623,294624
327789,327789
555041,555039
311991,311990
670998,670991
151098,151093
284943,284947
426099,426104
883877,883877
7498,7496
